question_id,question,survey_id,short_question
1,How would you rate Star Wars - the Rise of Skywalker?,1,Star Wars
2,How would you rate Avengers - End Game?,1,Avengers
3,How would you rate Dolittle?,1,Dolittle
4,How would you rate Jumanji - the Next Level?,1,Jumanji
5,How would you rate Gretel and Hansel?,1,Hansel
6,How would you rate The Turning?,1,Turning
